rate,target,prev_decision,next_decision,cpi_diff_year,infl_exp,unem_diff_year,gdp_diff_year
2004-01-01,2.5,0.0,0.0,0.0,2.7966579087541863,2.5,0.7564194690000008,4.125760984171224
2004-02-01,2.5,0.0,0.0,0.0,3.4282197486792865,2.5,0.9069527900000001,4.0326817565394215
2004-03-01,2.5,0.0,0.0,0.0,2.7558687950390075,2.5,0.5295617919999991,4.983496112910909
2004-04-01,2.5,0.0,0.0,0.0,2.784744391282525,2.5,0.6445719600000004,4.75160709214137
2004-05-01,2.5,0.0,0.0,0.0,3.1814867639583544,2.5,0.24622629200000112,4.445237063920963
2004-06-01,2.5,0.0,0.0,1.0,4.25649941972727,2.5,0.22120348199999995,2.9434417867060905
2004-07-01,2.5,1.0,0.0,0.0,4.613929564312779,2.7,-0.3644048640000008,4.050947448616255
2004-08-01,2.75,0.0,1.0,1.0,4.589875156862292,2.8,-0.6580088069999999,3.7596180166887483
2004-09-01,2.75,1.0,0.0,0.0,4.026242058065001,2.7,-0.18427412700000012,4.633488613555372
2004-10-01,3.0,0.0,1.0,0.0,3.950569679647484,2.8,0.1022967130000012,3.7250603839269125
2004-11-01,3.0,0.0,0.0,0.0,4.074399657568863,2.7,0.006691810999999603,8.400377084993439
2004-12-01,3.0,0.0,0.0,0.0,3.4810806900241795,2.7,-0.7616678589999992,9.201937079330172
2005-01-01,3.0,0.0,0.0,0.0,3.030979117634182,2.7,-0.10389473200000054,6.382480608126919
2005-02-01,3.0,0.0,0.0,0.0,1.6848634813581829,2.8,0.25185464000000124,7.353818635214783
2005-03-01,3.0,0.0,0.0,0.0,1.876923731182614,2.7,0.6186543790000005,3.2321948555329096
2005-04-01,3.0,0.0,0.0,0.0,2.021207974043416,2.7,-0.2128963129999999,5.2356556081785035
2005-05-01,3.0,0.0,0.0,0.0,1.7899135947245486,2.7,0.1872961679999996,6.387246300096701
2005-06-01,3.0,0.0,0.0,0.0,1.4861903142093873,2.7,0.2374677649999999,6.417808295296363
2005-07-01,3.0,0.0,0.0,0.0,1.3965508476994426,2.7,0.6838366380000007,6.694164165238719
2005-08-01,3.0,0.0,0.0,0.0,1.2240942591170307,2.7,0.4859450700000014,5.688883147453182
2005-09-01,3.0,0.0,0.0,0.0,1.1117863908477463,2.5,0.315307412000001,5.546644992437776
2005-10-01,3.0,0.0,0.0,1.0,1.2822280873026872,2.4,-0.18136599500000017,6.4460240093127075
2005-11-01,3.0,1.0,0.0,1.0,1.0610917007559666,2.3,-0.29801655500000024,9.27345315029747
2005-12-01,3.25,1.0,1.0,1.0,1.4942603199360964,2.3,-0.7718944450000009,6.2731389880232
2006-01-01,3.5,1.0,1.0,1.0,1.8992829935406117,2.3,-1.0727459889999995,7.859701998803774
2006-02-01,3.75,1.0,1.0,1.0,2.698926620757269,2.3,-1.7093263380000003,6.140519792086893
2006-03-01,4.0,1.0,1.0,1.0,2.5019639251838193,2.3,-2.092087309,11.145654570775198
2006-04-01,4.25,1.0,1.0,0.0,2.9024587920950236,2.3,-1.353308247000001,7.444812930058789
2006-05-01,4.5,0.0,1.0,0.0,2.2300356907570653,2.3,-1.1587546399999997,6.521800040156537
2006-06-01,4.5,0.0,0.0,0.0,1.8259847058153298,2.3,-0.7452113889999996,7.731640387070208
2006-07-01,4.5,0.0,0.0,0.0,1.5462033433038527,2.3,-0.8928128160000011,6.510030549808529
2006-08-01,4.5,0.0,0.0,0.0,1.87067015704682,2.3,-0.8896998870000008,8.837020944854014
2006-09-01,4.5,0.0,0.0,0.0,1.9947093903288722,2.3,-0.8896129269999999,7.026379069667159
2006-10-01,4.5,0.0,0.0,0.0,1.8918527789670458,2.3,-1.0054019820000004,7.435286933243386
2006-11-01,4.5,0.0,0.0,0.0,1.5352702819775406,2.2,-0.7152702999999985,5.172688474262768
2006-12-01,4.5,0.0,0.0,0.0,1.1374846674945287,2.1,-0.678761463999999,7.646538521342983
2007-01-01,4.5,0.0,0.0,0.0,0.6441924832404882,1.9,0.09486060599999924,7.382640294091655
2007-02-01,4.5,0.0,0.0,0.0,0.35510658527417216,1.8,0.3914064760000002,7.135460384915679
2007-03-01,4.5,0.0,0.0,0.0,0.2468894811425915,1.8,0.6984149140000007,6.838238200703387
